video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
-GIn5wrqzis,"HIGHLIGHTS: Son, Gakpo & a last-minute own goal as nine-man LFC beaten | Tottenham 2-1 Liverpool",2023-09-30T21:00:00Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,Sports,231001,"['liverpool fc', 'lfc', 'liverpool', 'anfield', 'melwood', 'liverpool football club', 'premier league', 'klopp liverpool', 'klopp', 'inside lfc']",2024080,26288,0,3726,https://i.ytimg.com/vi/-GIn5wrqzis/default.jpg,False,False,"Watch the key highlights from Liverpool's Premier League fixture with Tottenham. A first-half strike from Son Heung-min was cancelled out by Cody Gakpo's smart turn and finish but a last-minute own goal resulted in Jürgen Klopp's side leaving empty-handed.🔔 SUBSCRIBE for free, so you never miss a video or live stream! https://www.youtube.com/subscription_center?add_user=LiverpoolFC🎥Watch exclusive videos and join in the chat as a YouTube channel member: https://www.youtube.com/LiverpoolFC/join#Liverpool #LFC"
EZdVyudw04Q,장삐쭈가 서브웨이 주문할 줄 몰라서 얼굴공개한 건에 대하여 | 러브데스코미디 EP.10,2023-09-20T10:00:08Z,UC-OcDPFxfY9Hhdf5P9zq7-A,메타코미디클럽,Comedy,231001,"['메타코미디', '메타코미디클럽', '메타코미디클럽 딸기', '메코클', '메타코', '숏박스', '피식대학', '면상들', '스낵타운', '웃음박재', '붱철이', '김해준', '이용주', '김민수', '김원훈', '딸딸기', '딩동댕대학교', '붱철', '웃참', '임플란티드키드', '빵송국', '스케치코미디', '스탠드업', '스탠드업코미디', '웃음', '유머', '피식', '재미', '메타클', '메코클럽', '웃참 레전드', '피식대학 레전드', '숏박스 레전드', '스탠드업 레전드', '스탠드업코미디 레전드', '스탠드업코미디 한국', '몸개그 레전드', '몸개그', '슬랩스택', '슬랩스틱 레전드', '강현석', '이호창', '곽범', '이택조', '다나카', '김경욱', '다나카 레전드', '나몰라 레전드', '나몰라패밀리', '김건욱', '김홍남', '조진세', '엄지윤', '엄지렐라', '서준맘', '박세미', '안녕하세미', '쿨제이', '매몬', '매드몬스터', '매몬 레전드', '이선민', '조훈']",669571,10353,0,956,https://i.ytimg.com/vi/EZdVyudw04Q/default.jpg,False,False,*삐쭈는 메타코미디 창설 멤버다님들 우리 인프피들 재밌죠 재밌다고 하세요럽뎃코 몰아보기 https://youtube.com/playlist?list=PLM4MkkQkZjWkgCDRNlYvRvSciuquSQ3R5&si=99u3yWcIZrjdTg_U0:00  오프닝 00:38  장삐쭈 얼굴 공개01:58  ㅆ프피의 유래05:16  메코클에서 내향인들의 특징 08:18  내향인/외향인 테스트12:33  서브웨이 주문이 어려운 장삐쭈14:34  조주봉의 장점17:32   INFP들의 격투기18:39  범이 콧잔등을 찍어 버리고 싶었던 창호24:43  경민의 위험한 플러팅27:05  길티 플레져29:25  클로징 #메타코미디 #메코클 #러브데스코미디  #장삐쭈
_dnw3t2xrbE,네덜란드에서 남편 생일에 한식 잔치 열었더니 친구들 반응이..,2023-09-17T13:39:35Z,UCz0F9ndJTA0eL2XyL5R8YNg,멜봉 네덜란드 MelBong,Pets & Animals,231001,"['진돗개', '진돗개 외국', '진돗개외국', '진돗개 해외', '진돗개 키우는 외국인', '진돗개 해외반응', '진돗개 외국인', '한국 진돗개 해외반응', '진돗개 외국 반응', '진돗개 외국인 반응', '진돗개 미국', '진도개 미국', '강아지 브이로그', 'jindo dog', 'korean jindo', 'jindodog', '진돗개 생기는 일', 'korean jindo dog', 'cute jindo', 'cute dog', '진돗개 충성심', '강아지 짖는 소리', 'jindo puppy', '강아지 반응', 'dog reaction', '미니진도', '미니진돗개', '유기견', '유기견 입양', '유기견 구조', '믹스견', '진돗개믹스', '혼혈아', '혼혈 아기', '강아지와 아기', '아기와 강아지', 'baby and dogs', '진돗개와 아기', '봉쓰리', '멜과 진돗개', '봉글이', '네덜란드 아기', '네덜란드', '국제커플', '국제부부', 'mixed baby', 'korean mixed baby', '한식해외반응', '해외반응', '한국음식', '한식 해외반응']",967698,25332,0,928,https://i.ytimg.com/vi/_dnw3t2xrbE/default.jpg,False,False,부채널 멜라니의 일상은 멜랑 https://www.youtube.com/@bonglebaby멜봉 인스타: @melandbong www.instragram.com/melandbong봉글이 인스타: @bongle.baby www.instragram.com/bongle.babyBusiness inquiries: mel.h.park@gmail.com#네덜란드 #봉글이 #봉순이 #봉택이 #한식해외반응
gqgXgFc5eHI,[TAK SHOW2: TAK'S WORLD] 영탁(YOUNGTAK) '폼미쳤다(FORM)' Stage Clip @KSPO DOME 230827,2023-09-17T12:00:12Z,UCjL2bp7EDRIk7rwwEYeofeg,탁스튜디오 TakStudio,Entertainment,231001,"['영탁', '폼미쳤다', 'form', 'youngtak', '탁쇼', '탁쇼2', 'takshow', 'takshow2', '강남순', '각자도생', '힘쎈여자강남순', '효심이네각자도생', '방탄소년다', 'rm', '알엠', 'jin', 'jinjinjinman', '방탄소년단', '콘서트', '체조경기장', '공연', '무대']",301124,12171,0,3228,https://i.ytimg.com/vi/gqgXgFc5eHI/default.jpg,False,False,영탁(YOUNGTAK) 2nd ALBUM [FORM] '폼미쳤다(FORM)' [TAK SHOW2: TAK'S WORLD] Stage Clip @KSPO DOME 230827영탁 인스타그램 : https://www.instagram.com/zerotak2/공식 인스타그램 : https://instagram.com/takstudio_official공식 트위터 : https://twitter.com/takstudio_offl공식 팬카페 : https://cafe.naver.com/takstudioofficial#영탁 #YOUNGTAK #폼미쳤다 #FORM #탁쇼2 #TAKSHOW2
5z2-GtfRMHg,자그마치 500년은 캘 수 있는 양! 독특한 아름다움에 이탈리아도 사간다는 한국의 돌┃한국의 유일한 대리석 광산에서 대리석을 채광하는 과정┃극한직업┃#골라듄다큐,2023-09-20T04:24:31Z,UCFCtZJTuJhE18k8IXwmXTYQ,EBSDocumentary (EBS 다큐),Entertainment,231001,"['ebs', 'ebs documentary', 'ebs 다큐멘터리', '다큐', 'docu', '골라듄', '골라듄다큐', '골라둔다큐', '대리석', '채굴', '채광', '수출', '한국', 'korea']",1019977,4429,0,502,https://i.ytimg.com/vi/5z2-GtfRMHg/default.jpg,False,False,"※ 이 영상은 2014년 8월 6일에 방송된 ＜극한직업 - 대리석 광산＞의 일부입니다.강원도 정선에 있는 500년 채석 가능 규모의 대리석 광산. 우리나라의 대리석은 무늬가 독특하고 색이 아름다워 세계 대리석 시장에서 주목받고 있다. 가공된 대리석 한 장이 나오기 위해서는 채석부터 할석, 연마 등 수많은 공정을 거쳐야 한다. 채석장에서는 평균 3, 40톤에 육박하는 원석을 채석하느라 긴장을 늦출 수 없고 가공장에는 돌가루와 기계 소음이 끊이질 않는다. 발파한 뒤 채석하는 것이 아니라 다이아몬드가 박힌 얇은 와이어로 채석하기 때문에 시간도 오래 걸리고 정교하게 신경 써야 할 부분도 많다. 돌의 무게가 엄청난 만큼 대형 장비로도 쉽게 옮길 수 없다. 가공장에서는 엄청난 크기의 톱날이 쉴 새 없이 돌아가고 하루 수천 번의 망치질에 손은 성한 곳이 없다. 이런 힘든 환경 속에서도 최고의 대리석을 만들고 있다고 자부하고 대리석에 인생을 바친 사람들의 작업 현장을 따라간다.강원도 정선에 있는 대리석 채석장. 이곳은 아침부터 저녁까지 기계 소음이 끊이지 않는다. 대리석을 채석하기 위해서 발파한다고 생각할 수 있지만, 이곳에서는 돌에 일일이 구멍을 뚫고 구멍 사이에 와이어를 넣어 절단하는 방법으로 채석한다. 원석에 구멍을 뚫는 데만 2시간, 한 면을 절단하는 데는 12시간이 걸리는 대작업이다. 공업용 다이아몬드가 빼곡히 박힌 와이어는 수십 톤 규모의 돌을 자를 만큼 위협적이기 때문에 채석장에는 항상 긴장감이 감돈다. 산에서 떨어져 나온 돌은 굴착기로 옮기는데 돌의 무게가 워낙 무겁기 때문에 굴착기가 휘청하거나 돌 무게에 못 이겨 끌려가기도 한다.  가공장에서는 원석을 재단하기 위해 엄청난 크기의 톱날이 돌아가고 옆에서는 할석한 대리석을 한 장씩 떼기 위한 망치질이 한창이다. 애써 가공한 대리석이 깨지는 일도 많기 때문에 장당 3, 40kg가 넘는 대리석 수백 장을 사람 손으로 옮겨야 한다. 이런 일을 직업으로 삼은 작업자의 손톱은 성한 곳을 찾아보기 힘들다. 다음 날도 채석장의 하루는 바쁘게 돌아간다. 한창 와이어로 원석 절단 작업을 하는 그때 기계가 갑자기 멈춘다. 납품할 물량을 확보하기 위해서는 한시가 급한 상황. 작업자들의 속은 타들어 간다. 우여곡절 끝에 가공까지 마친 대리석은 서울에 있는 공사 현장으로 옮겨진다. 우리나라 대리석은 색이 아름답고 튼튼해서 건물의 외장재로도 많이 쓰인다. 이곳에서는 14층 건물 외벽에 대리석을 붙이는 작업이 한창이다. 돌이라는 특수성과 무게 때문에 일반 자재보다 훨씬 까다로운 대리석 외벽 작업. 좁은 공간에서 긴장 속에 작업을 하다 보면 몸은 금세 땀범벅이 된다. 대리석 채석부터 가공, 시공까지 대리석 작업의 모든 현장에 있는 사람들을 만나본다. ✔ 프로그램명 : 극한직업 - 대리석 광산✔ 방송 일자 : 2014.08.06#골라듄다큐 #극한직업 #한국 #대리석 #생산 #건설 #건축 #korea #korean"
rI-k14G-v_M,프로 방문러 임시완 썰 추가요〰️❗️ 상대역으로 만나 둘이서 연말 데이트까지🤭,2023-09-19T09:00:29Z,UCReO0narAXjFs59KFqqtE8g,VIVO TV - 비보티비,Comedy,231001,"['무한걸스', '무걸', '셀럽파이브', '셀럽이되고싶어', '김신영', '신봉선', '안영미', '송은이', 'songeuni', '김숙', 'kimsook', '金淑', '비밀보장', '팟캐스트', '비보', '컨텐츠랩비보', '시네마운틴', '씨네마운틴', '장항준', '영화리뷰', 'movie', '무비토크', 'tmi', '하정우', 'hajungwoo', '임시완', 'yimsiwan', '제아', '제국의아이들', '짤부자', '줄임말', 'mz', '신조어', '하저씨', '시골쥐', '하정우먹방', '먹방', '하대갈', '577프로젝트', '프로방문러', '이성민', '이병헌', '보스톤', '보스턴', '1947보스톤', '마라톤', '러닝', '걷기', '걷는사람하정우', '하감자', '짤', '토끼사냥짤', '하정우짤', '국토대장정', '던킨도너츠짤', '추격자', '스마트폰을떨어뜨렸을뿐인데', '사이코패스', '싸이코패스', '손기정', '서윤복', '영일만', '밥차', '러닝크루', '언노운크루', '포켓몬빵', '포켓몬', '롤러코스터', '허삼관', '복싱', '추성훈']",337171,4993,0,204,https://i.ytimg.com/vi/rI-k14G-v_M/default.jpg,False,False,"* 이 영상은 롯데엔터테인먼트의 지원을 받아 제작되었습니다.00:00 임시완의 심상치 않음을 눈치 챘던 하정우..?00:21 쎄하~!!00:51 사실 구면인 하정우&송은이01:31 프로 집 방문러 임시완을 조심해02:37 별명부자 하정우03:05 [1947 보스톤] 영화 소개03:51 하정우&임시완 첫 번째 공통점 [짤 부자]05:00 하정우&임시완 두 번째 공통점 [사패 연기 끝판왕]05:56 하정우&임시완 세 번째 공통점 [신조어 알못]07:39 셀프 Q&A 타임 [일단 물어봐주쎄오]08:39 임시완 체지방 6%까지 만들었다?09:01 [1947 보스톤] 촬영장 복지 넘버원은?09:40 영화 덕에 시작한 마라톤, 마라톤 크루 합류까지?11:44 하와이를 사랑하게 된 하정우12:29 임시완 띠부띠부씰 개봉 유튜버 되다13:23 하정우의 첫 연기, 첫 연출, 첫 영화의 꿈14:17 임시완 최애 운동은..?! 마라톤 vs 복싱15:15 형, 그림 그려준다면서요15:45 하정우&임시완은 다 해줍니다#하정우 #임시완 #1947보스톤──────────────────비보티비 공식 인스타그램📍https://www.instagram.com/vivotv비보티비 트위터📍https://twitter.com/vivo119──────────────────※ 본 콘텐츠 및 출연자와 무관한 댓글과 무분별한 욕설, 비난 등의 악의적인 댓글은 무통보 삭제될 수 있습니다."
LlDjG43f02c,키 안마기 그게 왜 궁금해? 내 앨범이나 좀 궁금해해 진짜! | KEY(키) | Good & Great | 아이돌등판 | IDDP | SHINee(샤이니),2023-09-18T09:00:09Z,UCqq-ovGE01ErlXakPihhKDA,1theK Originals - 원더케이 오리지널,Entertainment,231001,"['키', '김기범', '아이돌등판', '아이돌등판 키', '샤이니', '더쿠', '베스티즈', '키 베스티즈', '원더케이', '원더케이오리지널', 'k-pop', 'iddp', 'key', 'key 솔로', '키 노래', '샤이니 키', 'good & great', '키 퍼포먼스', '키 앨범']",833559,13614,0,630,https://i.ytimg.com/vi/LlDjG43f02c/default.jpg,False,False,"키 안마기 그게 왜 궁금해? 내 앨범이나 좀 궁금해해 진짜! | KEY(키) | Good & Great | 아이돌등판 | IDDP | SHINee(샤이니)#KEY#Good_and_Great#IDDP#New1theKOriginal#1theK#원더케이#원더케이오리지널SHINee WORLD all around the world,Master key KEY is here on IDDP.Don’t just look up the massage machines on the internet. Please check KEY’s new album “Good& Great” as well!And don’t forget to bring the marriage registration form to the signing event^^0:00 IDDP - KEY0:10 🔎 KEY7:48 🔎 theqoo11:42 🔎 instiz12:16 🔎 Melon16:08 🔎 DaumK-POP Wonderland, 1theKK-POP의 모든 즐거움이 여기에,다양한 원더케이 오리지널 컨텐츠를 만나보세요!K-POP Wonderland, 1theKAll the joys of K-pop here!1theK has a wide variety of Original Content▶1theK YouTube https://www.youtube.com/1theK▶1theK Originals YouTube  https://www.youtube.com/1theKOriginals▶1theK Live YouTube https://www.youtube.com/@1theKLive▶1theK Facebook  http://www.facebook.com/1theK▶1theK Twitter https://twitter.com/1theK▶1theK TikTok  https://vt.tiktok.com/2mSMBS▶1theK Live Instagram https://www.instagram.com/1thek_live/"
PBf6a6pth-c,역대급 쓰레기집 !! 청소했습니다...,2023-09-20T11:00:17Z,UCZ1wYQHk1yVle18u8FA8AvA,배말랭,People & Blogs,231001,"['배말랭', '별다먹', '백수', '자취', '핫소스', '생존', '배씨표류기', '원룸', '베란다', '월세5만원', '배건우', '청소', '대청소', '설거지', '꿀팁', '쓰레기집', '클린', '말랭져스', '어벤져스']",427256,6690,0,510,https://i.ytimg.com/vi/PBf6a6pth-c/default.jpg,False,False,클린 말랭져스! 출동이야~~!인스타그램 : https://www.instagram.com/baebae_geonwoo비즈니스 문의 : baemalraeng@sandbox.co.kr#배말랭 #배씨표류기 #베란다원룸 #자취 #생존
1BAfLkPnvqo,"CNBLUE(씨엔블루)의 킬링보이스를 라이브로! (With.정용화) - 외톨이야, Love, 직감, Can’t Stop, 너의 도시, 어느 멋진 날, 사랑 빛, 넌 내게 반했어",2023-09-19T10:00:13Z,UCtCiO5t2voB14CmZKTkIzPQ,딩고 뮤직 / dingo music,Music,231001,"['딩고뮤직', 'dingo', 'dingomusic', 'music', 'kpop', 'live', '멜론', '세로라이브', '최신가요', 'top100', '아이돌', '라이브', '음악', '딩고']",1432147,55320,0,4822,https://i.ytimg.com/vi/1BAfLkPnvqo/default.jpg,False,False,"2010년 곡 ‘외톨이야’부터 최신 발매곡 ‘너의 도시’까지데뷔 13년차 CNBLUE 정용화의 킬링보이스를 라이브로!00:00 오프닝00:34 외톨이야01:51 Love03:11 직감04:35 과거 현재 미래 (Then, Now and Forever)05:58 어느 멋진 날07:45 그리워서…10:05 사랑 빛11:33 처음 사랑하는 연인들을 위해 (반말송)12:35 넌 내게 반했어13:46 원기옥 (With 버벌진트)15:12 불꽃놀이 (Fireworks) 16:39 Can’t Stop 18:20 너의 도시 (Your City)🆕▶딩고뮤직 (Dingo Music) : http://bit.ly/Dingo__Music▶딩고프리스타일 (Dingo Freestyle) : http://bit.ly/Dingo__Freestyle▶일소라 (일반인들의 소름돋는 라이브) : http://bit.ly/ilsoracontact : musicbiz@makeus.com#CNBLUE #씨엔블루 #정용화 #JUNGYONGHWA #킬링보이스 #KillingVoice #딩고뮤직 #DingoMusic"
XwlS8xTXUb0,이 사람 아니면 안 되겠다 싶었어요 뇌성마비 남편을 보고 한눈에 반해 머나먼 타국의 작은 섬에 들어와 똑 부러지게 살아가는 베트남 아내┃희망풍경┃알고e즘,2023-09-17T10:00:32Z,UCl_tB4AqPkkxuYcJQHz6dMw,EBSCulture (EBS 교양),Entertainment,231001,"['ebs', 'ebs culture', 'ebs 교양', '교양', '문화', 'culture', '알고이즘', '희망풍경', '희망 풍경', '히망풍경', '장애', '장애인', '지체장애', '지체장애인', '지체 장애', '지체 장애인', '뇌성마비', '뇌성 마비', '펜션', '팬션', '영목항', '안면도', '소도', '섬', '섬생활', '섬살이', '섬 생활', '섬 살이', '베트남', '베트남 며느리', '베트남며느리', '국제결혼', '국제부부', '국제커플', '다문화', '다문화가정', '다문화 가정', '다문화가족', '다문화 가족', '다문하', '결혼', '부부', '며느리']",812752,7421,0,409,https://i.ytimg.com/vi/XwlS8xTXUb0/default.jpg,False,False,"안면도 영목항에서 또다시 배를 타고 들어가야 마주하는 작은 섬, 소도. 이곳엔 작은 펜션을 운영하며 3대가 함께 사는 가족이 있다. 아들인 대엽 씨와 아내 나영 씨. 그리고 대엽 씨의 부모님과 두 딸까지 모두 여섯 식구가 그 주인공이다. 15년 전 소도에 들어와 터를 잡고 펜션을 운영했던 건 아버지와 어머니가 시작이었다.  4년 후 아내 나영 씰 만나 부모님의 권유로 함께 소도와 들어와 두 딸을 낳고 어느새 소도 주민이 되어 살아가는 대엽 씨다. 소도는 면적이 작아 총 10가구에 주민수도 30명 안팎인 작은 섬이다. 사정이 이렇다 보니 이웃들 모두 가족처럼 지내는 소도 주민들. 그중에서도 대엽 씨와 아내 나영 씨 동네 주민들 사이에 금실 좋은 부부로 소문이 자자하다. 늘 어디를 가든, 무엇을 하든 아내와 함께인 대엽 씨. 대엽씬 3살 때의 사고로 뒤틀린 왼쪽 팔에 걸음걸이까지 불편한 지체 2급의 뇌성마비 장애인이다.📺방송정보📌프로그램명: 희망풍경 - 섬마을 대엽 씨의 열 번째 봄📌방송일자: 2018년 5월 6일#희망풍경 #알고e즘 #장애 #장애인 #다문화 #베트남 #뇌성마비 #섬 #섬마을 #소도 #펜션"
